Sl No,stars_review,text,date,name,categories,city,state,stars_business,review_count,rating_review
1,3,"If you decide to eat here, just be aware it is going to take about 2 hours from beginning to end. We have tried it multiple times, because I want to like it! I have been to it's other locations in NJ and never had a bad experience. 

The food is good, but it takes a very long time to come out. The waitstaff is very young, but usually pleasant. We have just had too many experiences where we spent way too long waiting. We usually opt for another diner or restaurant on the weekends, in order to be done quicker.",07-07-18 22:09,Turning Point of North Wales,"Restaurants, Breakfast & Brunch, Food, Juice Bars & Smoothies, American (New), Coffee & Tea, Sandwiches",North Wales,PA,3,169,Neutral
2,3,"Family diner. Had the buffet. Eclectic assortment: a large chicken leg, fried jalapeño, tamale, two rolled grape leaves, fresh melon. All good. Lots of Mexican choices there. Also has a menu with breakfast served all day long. Friendly, attentive staff. Good place for a casual relaxed meal with no expectations. Next to the Clarion Hotel.",05-02-14 20:30,Kettle Restaurant,"Restaurants, Breakfast & Brunch",Tucson,AZ,3.5,47,Neutral
3,5,"Wow!  Yummy, different,  delicious.   Our favorite is the lamb curry and korma.  With 10 different kinds of naan!!!  Don't let the outside deter you (because we almost changed our minds)...go in and try something new!   You'll be glad you did!",04-01-15 0:01,Zaika,"Halal, Pakistani, Restaurants, Indian",Philadelphia,PA,4,181,Positive
4,4,"Cute interior and owner (?) gave us tour of upcoming patio/rooftop area which will be great on beautiful days like today. Cheese curds were very good and very filling. Really like that sandwiches come w salad, esp after eating too many curds! Had the onion, gruyere, tomato sandwich. Wasn't too much cheese which I liked. Needed something else...pepper jelly maybe. Would like to see more menu options added such as salads w fun cheeses. Lots of beer and wine as well as limited cocktails. Next time I will try one of the draft wines.",14-01-17 20:54,Melt,"Sandwiches, Beer, Wine & Spirits, Bars, Food, Restaurants, American (Traditional), Nightlife",New Orleans,LA,4,32,Positive
5,1,I am a long term frequent customer of this establishment. I just went in to order take out (3 apps) and was told they're too busy to do it. Really? The place is maybe half full at best. Does your dick reach your ass? Yes? Go fuck yourself! I'm a frequent customer AND great tipper. Glad that Kanella just opened. NEVER going back to dmitris!,23-09-15 23:10,Dmitri's,"Mediterranean, Restaurants, Seafood, Greek",Philadelphia,PA,4,273,Negative
6,5,"Amazingly amazing wings and homemade bleu cheese. Had the ribeye: tender, perfectly prepared, delicious. Nice selection of craft beers. Would DEFINITELY recommend checking out this hidden gem.",07-08-15 2:29,Fries Rebellion,"Beer Bar, Bars, American (New), Gastropubs, Restaurants, Nightlife, Burgers",Quakertown,PA,3.5,103,Positive
7,3,"Had a party of 6 here for hibachi. Our waitress brought our separate sushi orders on one plate so we couldn't really tell who's was who's and forgot several items on an order. I understand making mistakes but the restaraunt was really quiet so we were kind of surprised. Usually hibachi is a fun lively experience and our  cook  said maybe three words, but he cooked very well his name was Francisco. Service was fishy, food was pretty good, and im hoping it was just an off night here. But for the money I wouldn't go back.",25-07-16 7:31,Hibachi Steak House & Sushi Bar,"Steakhouses, Sushi Bars, Restaurants, Japanese",Santa Barbara,CA,3.5,488,Neutral
8,4,"Locals recommended Milktooth, and it's an amazing jewel of Indianapolis. I'm glade I had the chance to experience this.",19-08-15 14:31,Milktooth,"Beer, Wine & Spirits, Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, American (New)",Indianapolis,IN,4,1379,Positive
9,4,Love going here for happy hour or dinner!  Great patio with fans to beat the StL heat!   Also...very accomodating at this location.  I like the Veal Milanese but with mixed greens instead of pasta!  they'll modify the menu to suit your taste!,27-06-14 22:44,Brio Italian Grille,"Bars, Pizza, Nightlife, Cocktail Bars, Italian, Restaurants",St Louis,MO,3.5,366,Positive
10,4,"Good food--loved the gnocchi with marinara
the baked eggplant appetizer was very good too

The service was very slow, but despite this, I'd go back, the food is just that good",14-10-09 19:57,LaScala's,"Pizza, Restaurants, Italian, Salad",Philadelphia,PA,3.5,367,Positive
